context,responses
"<sp1> How come it is slow as a snail today? <sp2> You mean the network connection? <sp1> Yes, I wanted to look for some information on the company page just now. It took me almost one minute to open it. Then there is no response to any click.","Oh, it seems like the company's server might be experiencing some issues or might be overloaded. This could be the reason for the slow network connection and inability to respond to clicks. Try refreshing the page in a few minutes or later. If it persists, try accessing the company page using a different browser or device.<SEP>Maybe it is just a connection issue.<SEP>That's terrible. I don't know what to do.<SEP>I have the same question. I can't send outmails. We'd better call the IT department and ask them to check it immediately.<SEP>I apologize for the inconvenience. We will look into the issue and work towards resolving it as soon as possible. Please bear with us while we work on it and try again after a while."
<sp1> How do they all get in suchtiptop shape? <sp2> Exercised over and over. Exercise is a key. <sp1> That's it. I decided to turn over a new leaf. I'm going to exercise every single day.,"You're going to have to do that for a long time to get the hang of it.<SEP>Great decision! Consistency and determination are key in achieving fitness goals. You can start with small achievable steps like walking, stretching or any physical activities that you enjoy, and gradually work up to more challenging ones. Remember, it's important to listen to your body and not overdo it. Good luck on your journey to better health!<SEP>Get in shape by working out regularly and doing some stretches and jogging.<SEP>Good for you! Starting a daily exercise routine is a great way to improve your overall health and fitness. Be sure to find an activity you enjoy and stick with it. You'll see results in no time!"
"<sp1> No, Sir. That's only with the very big companies. I'm sorry, But this car must be returned to this lot. <sp2> Well, I guess I will have to drive back down then. Hmm. I didn't think of that. <sp1> Do you still want the car, Sir?","I'd like it, But I'll have to make a phone call.<SEP>No, I'm not too interested in the car. Thank you for your inquiry.<SEP>Sure, I'd still like to rent the car. What's the next step, then?<SEP>Yes. It will be fun. Driving back down the coast. My girlfriend will like it."
"<sp1> No. I can't paint. I'm asking for my niece. She is really into it. <sp2> Oh, Good. How old is your niece? <sp1> She is eight. Actually, I'm buying a good set of art supplies for her as a birthday gift.","Great idea! That's a wonderful gift for an eight-year-old who loves art. You should consider including some high-quality art materials and perhaps an inspirational art book. That will help her grow her skills and passion for art.<SEP>Yes, I think she would like it.<SEP>That's very thoughtful of you. I'm sure she will like it. I'll bring her some photos for you.<SEP>It's a wise thing to do. Art will do a child a world of good."
<sp1> I'm just coming for that. <sp2> She kept bothering me. <sp1> She's your sister. What she asked was only duck soup for you. Why can't you be good to her?,"You know, I don't feel like it. I can't take it anymore.<SEP>But I am her brother, Not her servant.<SEP>Well, I suppose I can help her with that, but she always asks me for favors, and it's starting to get annoying."
"<sp1> I'm sorry, Our appointment has to be changed. <sp2> What a pity! <sp1> If you don't mind, May we put it off to the next day?","No problem. I'll be here next Tuesday.<SEP>Sure, I don't mind at all.  Let's reschedule for the next day.<SEP>Yes, that works well for me.<SEP>Of course, I don't mind at all. Let's reschedule for the next day."
"<sp1> I'm afraid there's been a mistake. <sp2> I'm sorry, Sir. What seems to be the trouble? <sp1> I believe you have charged me twice for the same thing. Look, The figure of 6. 5 dollar appears here, Then again here.","I'm sorry, Sir. We'll refund the money, But your bill will have to be paid immediately.<SEP>So, you received two charges for the same item, correct? Could you please provide me with your order number and I will look into this for you?<SEP>I must have confused your bill. I'll look again.<SEP>Well, after checking, it seems that there indeed has been a mistake. I'll correct it immediately for you, and you will be receiving a refund of the duplicate charge. We apologize for the inconvenience, and please let us know if there is anything else we can help you with.<SEP>Oh I apologize, sir. There seems to be a glitch in our system that has caused a duplication in the charges. I will look into it and rectify the situation right away. Please accept my sincerest apologies for the inconvenience."
"<sp1> This way, Please. Here they are. They're all handmade. <sp2> Oh, They look nice. May I try that black one on? <sp1> Of course. The fitting room is right over there.",Thank you very much.<SEP>Ok. Can you make it a little tighter?<SEP>I see. Let me try that one on.<SEP>I'll take it. I'll take this black one too.<SEP>Do you have a medium in the same color? This one is a little tight.
"<sp1> How bad did I do? <sp2> To be completely honest, You failed your test. <sp1> How?","In order to better understand the areas where you struggled on the test, we can discuss your performance and review any missed questions together. This will help us determine any areas for improvement in your study approach or knowledge.<SEP>To be completely honest, you failed your test due to poor preparation and incomplete answers.<SEP>There were a number of reasons.<SEP>You failed all of your subjects."
"<sp1> No. <sp2> Ok, Here you go. That will be 18 pounds and seventy two pence. <sp1> And the bubble wrap?","Here you are.<SEP>That's another quid.<SEP>Yes, we can include the bubble wrap for an additional 1.50 pounds.<SEP>The bubble wrap will be ten pence and forty one pence."
"<sp1> It is a good idea. What dish are you cooking now?! <sp2> I am steaming fish in a pressure cooker. Have you ever tried steamed fish? <sp1> Yes, I have. But the taste of steamed fish at that restaurant is not delicious. The fish is not well-done and too salty.","Yes, I have heard similar feedback about that restaurant's steamed fish. I prefer to steam fish at home using a pressure cooker. It helps maintain the moisture in the fish and keep it from drying out. I use fresh ingredients and adjust the seasoning according to my taste. This way, my steamed fish turns out to be juicy and flavorful.<SEP>What about fried fish?<SEP>It would be better to avoid restaurants that serve undercooked or overly salty food. Try cooking the fish at home instead so you can control the taste and texture of the dish.<SEP>Do you have any suggestions for a better fish stew?<SEP>You are right. But let me show you how to make it."
"<sp1> Yes, Of course. We have Treasury Notes with two, Three and five-year terms available. <sp2> Two years is fine, With a value of 1, 000 RIB. <sp1> Ok, Could I take a look at some ID please, Like a passport?","Sure, Here you are.<SEP>Here you go. By the way, Is it possible to cash them before the maturity comes up?<SEP>Yes, sure. Here's my passport.<SEP>Certainly. Here you are."
"<sp1> Good afternoon. Can I be of service? <sp2> I don't know. Can I purchase Treasury Certificates here at this counter? <sp1> Yes, Of course. We have Treasury Notes with two, Three and five-year terms available.","How much are they?<SEP>Two years is fine, With a value of 1, 000 RIB.<SEP>That's fine. I would like to take one.<SEP>I have one of the five year terms, And I want to know if I can purchase two of them."
<sp1> When was this break-in? <sp2> I believe it happened last night. <sp1> Where was the break-in?,The break-in took place on the second floor.<SEP>It was at the Wendy's on Grant Avenue.<SEP>It happened on the third floor.<SEP>At a bar. I think that this bar is a little bit haunted.<SEP>It happened at my house.
"<sp1> What are you going to do now? <sp2> I am trying to find a job asap. Lily doesn't know yet. I didn't tell her. I spent the past three days at the coffee shop next to your office, And she thought I went to work as usual. <sp1> That's not the way to solve the problem. Did you look in the classified advertisements column?","Thank you for your advice. I will definitely read the classified ads in the newspaper.<SEP>Yes, I did. But I wasn't qualified for most of the jobs that I was interested in.<SEP>Yes, But I didn't see any openings.<SEP>No, I haven't looked at the classified advertisements column yet. I should do that to find a job as quickly as possible."
"<sp1> Oh, That suits you very well. Besides it is believed in China that the red color brings happiness and good luck. <sp2> Really? I'II take it and I'm leaving here tomorrow. Is it possible for you to send one in black to me by mail when you get it in? <sp1> Our pleasure. Please fill out this form, Leaving your address and telephone number.",Thanks. How much would that come to?<SEP>I have filled out this form.<SEP>All right. Thanks.<SEP>Thank you very much. And I'll do my best to keep it as long as possible.<SEP>Ok. Here you are.
"<sp1> Look at the show on TV. I am watching a food show at a very famous seafood restaurant. I really want to eat at that restaurant. I am a seafood lover. <sp2> Speaking of seafood, My mouth is watering. Let's go to the seafood restaurant in our neighborhood. <sp1> Sound great. Let's go!","Yes, let's do that. I would love to try seafood at the neighborhood seafood restaurant.<SEP>Great idea ! Let's go and try the famous seafood restaurant 's dishes.<SEP>Look at the crystal clear fridge. You can see so many kinds of seafood in it. They all look very fresh and delicious.<SEP>I want to try the shrimp cocktail. I know I am hungry now.<SEP>Excellent idea! Let's go and try their famous seafood dishes."
"<sp1> My dear, What's for supper? <sp2> Red cooked carp and rape with fresh mushrooms. <sp1> What about soup?","Soup made from chicken with beef, Tomato juice, Mushrooms, Fresh vegetables and potatoes.<SEP>Of course, I will make fresh hot and sour soup for supper.<SEP>Well, we will have a bowl of sliced ginger and fish oil soup before the main course.<SEP>Vegetable soup, Mixed vegetables and fruit juice.<SEP>We are having a soup called Shrimp Lettuce with Fresh Mushrooms.<SEP>Sour-peppery soup."
"<sp1> Here is the fish counter. Look at the lobsters and crabs. Shall we have some? <sp2> I'm allergic to these things, You know. <sp1> Sorry, I forgot. I don't like seafood, Neither.","Oh, that's a shame. What about these fish, do you like those?<SEP>Let's go over there and get some milk, A couple dozen eggs and some orange juice.<SEP>""Well, we can't eat these, so what else do you suggest?"
<sp1> At my apartment building. <sp2> Don't you have your own parking spot? <sp1> I needed to be fast.,"You should have parked there.<SEP>Why didn't you take it to the parking garage?<SEP>That was very lazy of you.<SEP>I think we can park there until you finish your presentation.<SEP>You didn't have to take the subway, Do you?"
"<sp1> Thank you. Oh, It's very delicious. <sp2> Thank you for your praise. <sp1> Besides steamed fish, What else are you good at cooking?","Well, I also enjoy making stir-fried vegetables, soups, and steamed dumplings.<SEP>Oh, I'm good at making curries,Sambal,Tandoori and chickpeas.<SEP>I am good at making rice cakes.<SEP>I am good at stewing beef with potato, Frying chicken, Hot and sour soup etc."
<sp1> True. I would like to have some salmonsashimi and a roast salmon head. <sp2> You sound like a seafood expert. I would like to have some stir-fried squids and steamed shrimps. <sp1> You are not too bad as well. I also want to have a steamed lobster. It is really taste like heaven.,"I can't wait to try it.<SEP>Do you want to have the lobster in a large cast-iron skillet?<SEP>Oh my god , a steamed lobster ? They are expensive . If you don't mind , I would like to have one as well.<SEP>Let's go into the restaurant and find a table to order some food.<SEP>Awesome! Then let's have a delicious seafood feast together! I will make sure we get all the dishes we discussed, including the salmon sashimi, roast salmon head, stir-fried squids, steamed shrimps, and a steamed lobster. Can't wait to enjoy this delicious seafood extravaganza with you!"
"<sp1> She's probably about five feet. <sp2> That's nice, But tell me what she looks like. <sp1> The first thing I noticed was her beautiful brown eyes.","And what is the other feature that caught your attention?<SEP>Oh, I see.<SEP>What does she look like to you?"
"<sp1> Listen, Karen, I need your help. I don't know anyone here yet. <sp2> I'm glad to help you. What's wrong? <sp1> My mother-in-law just went into the hospital in L. A. Hank and I will be flying there tonight.","I'm so sorry to hear that. I hope everything works out.<SEP>What happened to her?<SEP>That sounds tough!  What can I do to support you and your family?<SEP>Oh, I'm so sorry to hear that. Don't worry, you'll be in good hands with Hank. Just let me know if there's anything else I can do for you. Sending positive thoughts and wishes for your mother-in-law's recovery.<SEP>I'm sorry to hear it. What's wrong with her?"
"<sp1> Take a seat inside and see what you think. So you will take the Porsche then, Sir? <sp2> Yes, And I want to buy the insurance too. I think it's necessary. <sp1> You're smart to buy it. At 45 dollars for three days, It is a good deal.",That's a good deal. I'll take it.<SEP>Thank you very much.<SEP>Can I return the car in San Francisco?
"<sp1> Only one. But I wanted to make sure I'd get it. <sp2> Yeah, I really wanted that Chanel bag, Too. But just in case you should bid low. <sp1> But there are only two more days until the bidding closes!","I know. I'll just have to make sure I get it on the first day.<SEP>That's right. Only two more days.<SEP>I bid on a Chanel watch at the last minute, And got it sixty percent off!<SEP>Well, I guess the only thing you can do is wait.<SEP>Yeah, I'll bet you that's going to be a very good bidding.<SEP>Don't worry, there's still plenty of time! I'll keep an eye on it and bid strategically to make sure we both get what we want."
"<sp1> Yes, Can you put it in a plastic bag? <sp2> Sure, No problem. Here you are. That'll be 25 dollars. <sp1> Do you take credit cards?","No. We only accept cash.<SEP>I'm sorry, But we only accept cash.<SEP>Yes, we take credit cards. However, there will be a 3% surcharge on credit card payments.<SEP>Sure, we accept credit cards. You can use any major credit card to pay for your purchase."
"<sp1> Of course, I do. <sp2> Well, You really didn't do all that well. <sp1> How bad did I do?","I mean, You got the first half, But that was a little too easy.<SEP>To be completely honest, You failed your test.<SEP>It was horrible ; I don't know how you did.<SEP>You were bad at math."
"<sp1> Just a beer, Please. <sp2> Good. Thank you.Sir. <sp1> Would you like to have some more beer?","That would be wonderful.<SEP>No, Thanks. I'Ve had enough. I'll have my bill, Please.<SEP>I wouldn't mind having another one.<SEP>Sure. I'll have one please."
"<sp1> Anything wrong with it? <sp2> Yes. When I spread it out back home, I found this hole. <sp1> Oh, How awful! May I have a look at the invoice?","Anything wrong with it?<SEP>Certainly.<SEP>Of course. It's on the right page.<SEP>Yes, Here you are.<SEP>Yes, Please. Here it is.<SEP>What's the damage?"
<sp1> Is that really all that you eat? <sp2> That's basically it. <sp1> How do you stick to only those foods?,"Well, I think a lot of that comes from my parents telling me that if I ever want to be healthy, I should cut out all processed foods from my diet.<SEP>It's not that difficult to stick to such a diet. Most of the time, I prepare my own meals at home using fresh, high-quality ingredients. I avoid processed foods and try to incorporate various vegetables and fruits into my dishes. Additionally, I make sure to eat moderate portions and not eat too much at a time. It's all about maintaining a balance and having discipline in terms of food choices.<SEP>It's not that hard to stick to if you have the discipline to do so.<SEP>I just make sure that I have plenty of fruits, Veggies, And protein."
"<sp1> Good morning, May I speak with Professor Clark, Please? <sp2> You are speaking with Professor Clark. <sp1> Professor, I am Kalina from your morning literature class.","Good morning, Kalina. How may I help you today?<SEP>Yes, How can I help you?<SEP>Good morning, Kalina. How may I assist you?"
"<sp1> Let's see, 30NT is about... Almost a dollar US. What?! How about these pineapples? <sp2> They're 250NT each, But they're not edible. They're only used for worship. <sp1> Hmm, 250NT is... 8 dollars?!! And you can't even eat them? You're crazy!",Wait! Don't go just yet. These bananas are pretty cheap--only 35NT for this bunch.<SEP>I don't understand.
"<sp1> Sure, John Sandals. <sp2> Hi, Mr. Sandals. I'm Michelle, At your service. When do you need the room? <sp1> My plans are to be there April 14th to the 17th.","Thank you very much.<SEP>Okay, Then it will be around that time.<SEP>That's great. May I know when you need a key?<SEP>Thank you very much, Mr. Sandals.<SEP>We have new room rates, Sir. Will that be acceptable to you?"
"<sp1> Oh, Thank you. <sp2> Could I interest you in our store credit card? <sp1> No, Thanks. I already have credit cards.","No problem.<SEP>Well, This one has 3, 000 US dollars in it.<SEP>But our credit card saves you 10 percent."
"<sp1> Ms. Wang, This is Mr. Cooper, President of Ivy Publishing. <sp2> It's nice to meet you, Mr. Cooper. <sp1> Nice to meet you, Ms. Wang. You must be exhausted after your long trip from Canada.","Thank you for your warm welcome, Mr . Cooper . I appreciate the thought. My journey might have been tiring, but I'm glad to be here.<SEP>""Thank you for the kind remark, Mr. Cooper. Yes, the flight from Canada was quite long, but I'm glad to be here now and ready to start our business meeting.""<SEP>Yes, It was quite a long flight. I'm glad to finally be here."
"<sp1> Do you still want the car, Sir? <sp2> Yes. It will be fun. Driving back down the coast. My girlfriend will like it. <sp1> It's a beautiful drive.",I think we'll enjoy ourselves.<SEP>I want to go as soon as possible.<SEP>I am glad to hear that.<SEP>Yes. I can't wait to get back.<SEP>Yes. She will be glad.
"<sp1> That's a really long line. How long do you think it'll take to get through all those people? <sp2> It takes about 3 minutes per person, So it'll probably be about an hour's wait. <sp1> Can I buy stamps here?","You can buy anything you like at the booth.<SEP>Yes, you can buy stamps here.<SEP>Sure. How many would you like?<SEP>Yes, You can.<SEP>Sure."
"<sp1> I broke my leg, But it is healing. <sp2> How long will you be out of class? <sp1> I should be able to return by next Monday.","Fine. Well, Thanks for calling and letting me know you will be absent. I hope you feel better soon.<SEP>I hope so.<SEP>That will be fine."
"<sp1> Yes, I'd ask Jill, The girl I've had before, But I need someone overnight. Maybe even for two nights. <sp2> I could have Suzy stay at my place. <sp1> I don't want to do that to you, Karen.","It's no problem at all . Suzy can sleep in my spare bedroom.<SEP>Why not?<SEP>It's ok. She's a good friend and I'd love to be her wingman.<SEP>Don't be silly, Suzy is the one who needs all the help."
"<sp1> Wow! Your fruit looks really fresh! How much are these apples? <sp2> The apples are 30NT each. How many would you like? <sp1> Let's see, 30NT is about... Almost a dollar US. What?! How about these pineapples?","I can give you 3 pineapples for 70NT . It's a much better deal if you get these pineapples, as they are really fresh and sweet too.<SEP>They're 250NT each, But they're not edible. They're only used for worship.<SEP>They are about 1/ 2 US each, So we'll have about 4 US.<SEP>They're only 20NT each. That's about what they're worth."
<sp1> No. Let me take a look... It's longer than my car. <sp2> I think it's over five meters long. I can't remember exactly. It has a maximum speed of over 200 kilometers an hour. <sp1> Wow! That's fast! I don't think we will be traveling that fast on the motorway.,"We can't. If we went that fast, We would break the speed limit.<SEP>Well, it's definitely not necessary to drive that fast on the motorway. Let's just enjoy the ride and follow the speed limit to ensure our safety on the road.<SEP>That's too bad.<SEP>Let's drive slowly. We'll pass the bridge to the south."
"<sp1> I heard that one of their specialities is the samosa. <sp2> Well, Let's get a plate of those then. <sp1> Sounds good. What are you going to have for your main course?","I think I might have adahl.<SEP>I'm planning to have their chicken curry as my main course. What about you?<SEP>I'm not sure yet. I'll take a look at the menu and see what catches my eye.<SEP>Well, I'm going to have some chicken.<SEP>I'll have chicken and rice."
"<sp1> How do you stick to only those foods? <sp2> Actually, Fruits and veggies are really good for you. <sp1> Yeah, I know, But what about the chicken?","What about the chicken? It's not the only option. There are a lot of other healthy protein sources such as fish, lean meat, and plant-based protein. By focusing on fruits and veggies, you're getting a balanced diet with all the essential nutrients you need.<SEP>I don't like chicken.<SEP>Well, I do occasionally have chicken, but I make sure to prepare it in a healthy way by grilling, baking or roasting it instead of frying it. Plus, I focus on consuming high-quality, organic chicken with no added hormones or antibiotics. It's also important to balance my protein intake with other nutrient-rich sources like legumes, nuts, and seeds.<SEP>Yeah, It's a good source of protein and iron, But it also contains a lot of saturated fat.<SEP>I used to make that once a week, But I'm not really fond of chicken anymore.<SEP>I mainly eat baked chicken, Because there's not a lot of fat."
<sp1> Have you ever gotten a parking ticket? <sp2> I've never gotten one. Have you? <sp1> I got a ticket yesterday.,Really? What did you get one for?<SEP>Why? Did you get a ticket when you parked in a handicapped spot?<SEP>Did you pay it?
"<sp1> Your throat is inflamed. And your tongue is heavily coated. You have all the symptoms of influenza. <sp2> What am I supposed to do then? <sp1> A good rest is all you need, And drink more water. I'll write you a prescription.","Thanks doctor. I'm going to have to stay in bed and take it easy for a few days.<SEP>Alright. I'll take it easy and follow your advice.<SEP>What is the prescription for?<SEP>Thank you, Doctor."
"<sp1> Are you good at cooking? <sp2> I have studied its skills recently at a training school. I plan to run a restaurant, So I have to practise cooking! <sp1> It is a good idea. What dish are you cooking now?!","My sister wants me to cook a dinner for her. I have to prepare some soup and meat for her.<SEP>I am steaming fish in a pressure cooker. Have you ever tried steamed fish?<SEP>Well, I am trying new recipes. Have you heard of Grilled Pork?<SEP>""I am currently cooking Chicken Parmesan, which is a delicious dish made of breaded chicken and covered in a rich tomato sauce and cheese. Let me know if you want the recipe!""<SEP>I am making chicken curry."
"<sp1> Is this Friday okay? <sp2> Is 6 o 'clock Friday evening okay? <sp1> Yes, I will schedule you for that time.","Thanks. See you on Friday.<SEP>Thank you very much. See you then.<SEP>Ok, I'll see you then.<SEP>Yes, 6 o'clock on Friday evening works for me."
<sp1> Can I buy stamps here? <sp2> Sure. How many would you like? <sp1> I need 30 for my Christmas cards.,"Here you go.<SEP>I am sorry, But there are only two stamps here.<SEP>Alright. I'll get them for you right away. You can pick up your stamps at the counter when you are done shopping.<SEP>Of course, I'll help you get 30 stamps for your Christmas cards right away.<SEP>Are you sending them abroad?"
<sp1> I'd like you to do me a favor. <sp2> What is it? <sp1> Can you mail this at the post office for me? I have to go to the doctor for an appointment and I don't have enough time to go to the post office.,"Sure, I'd be happy to help. Just give me the letter and I'll take care of it for you.<SEP>I'm sorry, But I can't do that.<SEP>I'd be happy to help you out. I'll stop by the post office on my way home from work and mail it for you. Let me know if there's anything else I can do for you.<SEP>Yes. Let me take care of it.<SEP>Sure, I'll mail it right now."
"<sp1> Yeah, This place looks great. Wow, Look at her, She can certainly get down, Can't she? <sp2> She sure can. Are you jealous, Leslie? <sp1> A little, I wish I could do that.","Well, Leslie. I bet you could do it.<SEP>You can! With a little practice.<SEP>You can ! Just put on some dancing shoes and join her."
"<sp1> I have. I feel lucky. I look forward to dealing with overseas companies and at the same time having a chance to use English more. <sp2> I'm sorry to bring this up, But would it be possible for you to write me a letter of recommendation before you go? <sp1> Of course I can. In fact, If there are other job opportunities at this new company, I'll recommend you personally.","I'm sure you will. Thank you.<SEP>That's great , thank you so much . I really appreciate your help .<SEP>That would be wonderful of you.<SEP>Thanks. I appreciate that."
"<sp1> Oh, Spinach, I think. <sp2> Fine, And what about something to drink? <sp1> Just a beer, Please.","Alright, a beer it is. Thanks for letting me know.<SEP>Ok, What about you?<SEP>I'll get it for you.<SEP>Good. Thank you.Sir.<SEP>Ok."
<sp1> That sounds nice. Do you want to share some kebabs as well? <sp2> Ok. How about some lamb kebabs? <sp1> That's my favourite. Do you want to have some wine or beer?,"I think I'll have a beer.<SEP>I'm not really a big drinker ; I usually just enjoy hot food.<SEP>What about a bottle of red wine to go with the lamb kebabs?<SEP>Sure. What kind of beer should I bring?<SEP>No, I'm fine."
"<sp1> I need help with the office party. <sp2> Yes, Of course. We could split it. What part would you like to do, The food or the entertainment? <sp1> I have no idea what the entertainment should be.",Do the food planning<SEP>Let's make sure we are on the same page. Do we want a formal or informal gathering?<SEP>How about a comedian?
"<sp1> I ran a red light? <sp2> Yes, You did. <sp1> I apologize, But I didn't realize that I did.","Weren't you taught that yellow means slow down, Not speed up?<SEP>You should have known it was red light.<SEP>Why didn't you see the red light, or were you distracted?<SEP>It's alright , but please be cautious next time."
"<sp1> Good evening, Madam. Can I help you? <sp2> Yes. I bought this sheet here yesterday. <sp1> Anything wrong with it?","Yes, It was too thick.<SEP>Yes. When I spread it out back home, I found this hole.<SEP>Oh, Yes. The color is a bit dull.<SEP>Yes, It's broken."
"<sp1> How long will it take us to drive to London? <sp2> I think it's a distance of 180 kilometers from here to London, So it should be a two-hour drive on the motorway. <sp1> That's unless there is a traffic jam. It could take three hours.","It typically takes around two hours to drive to London from here, depending on the traffic conditions. If there is any congestion or an accident on the motorway, it could extend the journey to up to three hours.<SEP>That ’ s true. But in general, the trip should take two hours.<SEP>Yeah, It may take three hours.<SEP>""Yes, there's a chance we may experience traffic delays, so it could be about three hours, but normally it takes two hours.""<SEP>I don't think there is a traffic jam on motorways if there is no traffic jam. It would take us less than an hour to get there from here ; if there is a traffic jam, We could have a further four hours."
<sp1> I have no problem with that. <sp2> Great! Would you prefer smoking or nonsmoking? <sp1> Definitely nonsmoking. I can't handle that smell.,"Nonsmoking. Now, Is a queen-size bed okay?<SEP>Sure, non-smoking is no problem for me. I don't enjoy the smell of cigarettes.<SEP>Sure, no problem. I prefer non-smoking areas too."
"<sp1> Good afternoon! Can I help you? <sp2> Could you show me where the Chinesc-style clothing is located? I want to buy a silk coat. <sp1> This way, Please. Here they are. They're all handmade.","I'll take the red one , please. Thank you so much for your help.<SEP>Oh, They look nice. May I try that black one on?<SEP>Wow, They're beautiful. I love their designs."
"<sp1> Excuse me. How much is the chocolate bar? <sp2> One dollar. <sp1> So, I can have five for five dollars?","Yes, you can have five chocolate bars for five dollars.<SEP>Yes, That's right.<SEP>Actually, You can only have four.<SEP>Sure, you can have five chocolate bars for five dollars."
"<sp1> Professor Li, Do you know where to buy art supplies? <sp2> For what? Are you taking up painting? <sp1> No. I can't paint. I'm asking for my niece. She is really into it.","I suggest you look in a department store. They have everything you need.<SEP>Oh, Good. How old is your niece?<SEP>Well, Here's a website. You can get supplies from all over the world.<SEP>Sure! A good place to buy art supplies is at an art store. Or, you can find a more affordable option at a craft store like Hobby Lobby."
"<sp1> Tell me a little bit about yourself, Please. <sp2> My name is Dunlin and I live in Beijing. I was born in 1980. I will graduate from Peking University this July. I have majored in accounting. <sp1> Would you tell me something about your family?","My family originally comes from Hubei Province. My mother is a nurse at a local hospital, and my father owns a small printing factory. They both have a strong sense of responsibility and commitment to their work, which has inspired me to excel in my studies and ultimately choose accounting as my major.<SEP>My family is very close-knit. My parents both have full-time jobs. My father is an engineer and my mother is a teacher. I have one younger brother who is studying physics at Beijing Normal University. We have a lot of family gatherings and celebrate major holidays together.<SEP>My parents are from Tibet. My mother is a nurse and my father is a lawyer.<SEP>Sure. My family consists of my parents and two younger siblings. We are very close and like spending time together."
<sp1> Well you can't just take the money. You have to ask the bank for money. And I'm the banker. <sp2> Banker? <sp1> Yes...,I have no idea where to go.<SEP>Can I have my $ 200 please?<SEP>I see.<SEP>So who do I ask for money when I need it?
"<sp1> Honey, I need to have a talk with you. <sp2> Dad, I have to do my homework. <sp1> No, Honey, Why didn't you go to cram school last night?","I had a lot of homework to do. I could not get through it.<SEP>Dad, I'm sorry, but I had a very long day at school and was feeling quite tired. I couldn't concentrate in cram school last night.<SEP>Dad , I don't really want to go to cram school every night . Can we talk about this later ?<SEP>Dad, I don't want to talk about it now."
"<sp1> Ok, To start, The conditions are specified by the buyer and may include Insurance Forms, Way Bills, Bills of Lading, Customs forms, Various certificates. <sp2> Ok, Got it. Is there anything else I need to know before we go ahead? <sp1> Just that in effect, A basic Letter of Credit is a financial contract between the bank, The bank's customer, And the beneficiary, And this contract involves the transfer of goods or services against funds.","So I'll have to sign a document that I can prove that I am the beneficiary?<SEP>I see. That's all I need to know. Thanks for your help.<SEP>That sounds fine, Thanks for that. Let's go ahead!<SEP>Are there any specific conditions or documents that are typically required for a Letter of Credit transaction?<SEP>Yes, That's pretty clear."
<sp1> What about soup? <sp2> Sour-peppery soup. <sp1> Which condiment do you use for?,"I use a little garlic.<SEP>I use ginger and black pepper.<SEP>To make a delicious and balanced sour-peppery soup, I usually add a small amount of vinegar or lemon juice and some freshly ground black pepper. This condiment pairing helps to enhance the sour and spicy flavors of the soup.<SEP>I'll use ginger, Garlic scallion, Hot pepper and vinegar."
"<sp1> Good evening, Saliva. What's that wonderful aroma from your kitchen? What are you doing now? <sp2> I am cooking now! <sp1> Are you good at cooking?","Yes, I am. I am very good at cooking.<SEP>Of course, I am good at cooking.<SEP>I don't cook much, But I love making food.<SEP>Yes. I know how to cook well.<SEP>Yes, I enjoy cooking, and I think I'm pretty good at it. I find it very relaxing and a fun way to experiment with different flavors and ingredients. What kind of dish are you preparing tonight?"
<sp1> I'm sorry I'm so late. I had a really bad day. <sp2> It's ten after six. We're late. But dinner is at six thirty. <sp1> I know. I know. I'm really sorry. I lost my bag.,"It's okay. Don't worry about it. Things happen.<SEP>That's okay. Don't be so upset.<SEP>I understand that you had a bad day, but we can't be late for dinner. You lost your bag, so could you please message the host and let them know that we will be a few minutes late? This way, they can expect us and our arrival won't be unexpected."
"<sp1> Definitely nonsmoking. I can't handle that smell. <sp2> Nonsmoking. Now, Is a queen-size bed okay? <sp1> No problem.","And, If you want, You can take a sauna or steam room.<SEP>You can take this one for a change ; the mattress is a bit rough on the outside, But the inside feels firm and soft.<SEP>Great, Mr. Sandals. Your reservation is confirmed. Now all I need is your phone number."
"<sp1> Tom, Is Jenny crying? <sp2> Can you take he away from me? <sp1> I'm just coming for that.","Please keep her away from me.<SEP>She kept bothering me.<SEP>No, she's not crying. She's just very emotional."
"<sp1> What would you like to eat, Sir? <sp2> Scrambled egg, Bacon, Three pieces of bread and a cup of tea. <sp1> Would you care for some lemon for your tea?","No , thank you . I do not like lemon in my tea.<SEP>SPEAKER B: Yes, please, a slice of lemon with my tea would be great, thank you.<SEP>Thank you. I would appreciate that, please.<SEP>It would be very nice, Sir.<SEP>Of course, But it must be very hot."
"<sp1> Hello, This is Mike, Kara. <sp2> Mike! Good to hear from you. How are you? <sp1> Everything is fine, And how are you?","Fine, Thanks. I've just been having a hard time keeping up with my studies.<SEP>I'm doing fine, Thanks. I just got back from Europe. I had a couple of weeks to recover from the trip, And I'm feeling much better now.<SEP>Hey, I'm doing great! It's always good to hear from you. What have you been up to lately?<SEP>Fine, Thanks."
"<sp1> Have you had any experience with computer? <sp2> Yes, I studied in a computer training program, And can process data through the computer. <sp1> That's fine. What about operating the fax and duplicator?","I can handle them without any trouble.<SEP>I have no experience in operating them.<SEP>I am familiar with operating fax machine, I used to work in the mail department of a major newspaper.<SEP>Yes , I have also had experience with operating the fax and duplicator during my training program.<SEP>Yes , I have experience operating the fax and duplicator during my work at a print shop ."
"<sp1> What were they? <sp2> Basically, You just can't drive. <sp1> Can I have another try?","Of course. Just give me a call.<SEP>No , because you already failed the driving test twice before .<SEP>Yes, I'd like you to have another try."
